mereka melakukannya!	mereka tidak !
biasanya saya menamparnya.	Kamu pasti seorang gadis yang hebat.
Kamu pasti seorang gadis yang hebat.	mau bertaruh?
Mengapa ?	dia tidak menyetujui gadis yang merokok.
aku juga. selamat tinggal.	Biarkan saya membawa salah satu alat musiknya.
Biarkan saya membawa salah satu alat musiknya.	terima kasih. bukankah kamu seorang yang manis?
sebentar non, boleh saya?	bantulah dirimu sendiri.
bantulah dirimu sendiri.	Saya Osgood yang bermain di posisi ketiga.
Saya Osgood yang bermain di posisi ketiga.	aku cinderella yang kedua
saya tidak suka tidak adanya saksi.	Kami tidak akan bicara sepatah kata pun.
Kami tidak akan bicara sepatah kata pun.	Anda tidak akan menghirup apa pun, bahkan udara.
Mengapa ?	karena aku punya beberapa rencana
dan kamu akan ada di sana sepanjang malam?	ya joe.
apa pekerjaannya ?	ini tiga minggu di Florida
sebenarnya ini band macam apa sih?	kamu harus berusia di bawah dua puluh lima tahun
Itu luar biasa. Josephine yang malang.	Saya ?
Selamat malam .	Selamat pagi .
delapan ratus lima puluh ribu dolar.	Mari kita buat menjadi satu juta genap.
aku tidak pernah tahu bisa seperti ini.	Terima kasih .
mandi mineral sekarang benar-benar!	dimana kamu belajar berciuman seperti itu?
apa pun kali ini?	Saya khawatir tidak. Maaf sekali.
Maukah kamu membantuku?	apa itu ?
apakah itu sesuatu ?	terima kasih juga.
lihat? tidak ada apa-apa.	tidak ada sama sekali ?
Apa yang terjadi ?	Saya tidak ingin membuat Anda bosan.
Saya tidak ingin membuat Anda bosan.	Oh, kamu tidak mungkin bisa.
apa lagi yang ada untukku ?	apakah itu tidak ada harapan?
apakah anda pernah mencoba gadis Amerika?	Mengapa ?
Maksudmu kita sendirian di kapal?	sepenuhnya.
benda apa ?	mereka hanya membuatku merasa dingin.
sampanye ?	Saya tidak keberatan jika saya melakukannya.
Saya tidak keberatan jika saya melakukannya.	menuruni palka seperti yang kita katakan di laut.
menuruni palka seperti yang kita katakan di laut.	selamat jalan.
tidak apa-apa untuk seorang bujangan.	betapa cantiknya ikan itu.
oh kamu punya lantai atas dan lantai bawah.	ya, itulah gudang anti badai kami.
Ngomong-ngomong, kamu akan menemuinya malam ini.	saya ?
Hal paling menakjubkan terjadi	Apa ?
Apa ?	tebakan !
josephine .	Oh, aku tidak mendengarmu masuk.
Baiklah, kurasa aku sebaiknya pergi	Senang sekali bertemu kalian berdua.
Senang sekali bertemu kalian berdua.	dan Anda akan datang mendengarkan kami malam ini?
dan Anda akan datang mendengarkan kami malam ini?	jika itu memungkinkan
bagaimana pasar saham?	naik, naik, naik.
pembukaan opera	menunggangi anjing pemburu
menunggangi anjing pemburu	dan selalu sama empat ratus.
minyak kerang?	jangan sebut nama. panggil saja aku junior.
saya tidak tertarik sama sekali.	yah, aku tidak.
yah, aku tidak.	Itu sangat menarik.
bukankah aku pernah melihatmu sebelumnya?	tidak terlalu mungkin.
tidak terlalu mungkin.	apakah kamu menginap di hotel tersebut?
apakah kamu menginap di hotel tersebut?	sama sekali tidak .
sama sekali tidak .	wajahmu tidak asing.
Oh, aku benar-benar minta maaf.	salahku.
salahku.	kamu tidak terluka kan?
kamu tidak terluka kan?	saya kira tidak demikian .
saya kira tidak demikian .	Saya harap Anda memastikannya.
Saya harap Anda memastikannya.	Mengapa ?
Terima kasih .	siapa kamu ?
siapa kamu ?	sekarang benar-benar
terima kasih, sayang .	selamat malam gula.
apakah anda sangat keberatan?	sama sekali tidak .
apa yang terjadi ?	cari aku. maksudku aku akan melihatnya.
Anda berhak.	mungkin kamu juga akan bertemu satu, josephine.
aku ingin anakku memakai kacamata.	kacamata ?
kurasa aku tidak begitu pintar.	Saya tidak akan mengatakan itu. Mungkin ceroboh.
mampu membelinya?	apakah kamu pernah menjadi anggota band pria?
apakah kamu pernah menjadi anggota band pria?	Saya ?
kasar ?	aku akan katakan.
aku akan katakan.	Anda tidak bisa mempercayai orang-orang itu.
begitu ?	setiap waktu !
tapi syukurlah kamu seorang gadis.	Ya .
di baltimore dan ohio.	Oh .
selamat malam tuan.	Saya datang ke pemakaman wanita tua itu.
siapa yang akan menyerbu pemakaman?	beberapa orang tidak menghormati orang yang sudah meninggal.
Apa itu, Pak?	minuman keras.
minuman keras.	Maaf Pak, kami hanya menyediakan kopi.
Maaf Pak, kami hanya menyediakan kopi.	kopi ?
kamu bercukur sambil spatbor kamu terpasang?	aku tidur dengan spatku terpasang.
kami mendapat informasi yang berbeda.	dari siapa? tusuk gigi charlie mungkin?
dari siapa? tusuk gigi charlie mungkin?	tusuk gigi charlie? belum pernah dengar tentang dia.
baiklah charlie ini tempatnya?	ya pak.
ya pak.	dan siapa yang menjalankannya?
dan siapa yang menjalankannya?	aku sudah beritahu padamu.
untuk apa ?	pesanan dari bonaparte kecil.
Hai .	Hai .
aku harus segera pergi.	kamu yakin baik-baik saja?
kamu yakin baik-baik saja?	Aku baik-baik saja. Aku janji.
sempurna. semua ginny.	kecuali scotchnya.
Itu sudah lama sekali.	tetap
tetap	jika ed pernah mengetahuinya...
jika ed pernah mengetahuinya...	atau kat . . . .
Maaf mengganggu. Ayahmu yang mengirimiku.	untuk apa ?
untuk apa ?	untuk memastikan Anda baik-baik saja.
apakah kat tahu?	Jeffrey memberitahunya tadi malam.
Jeffrey memberitahunya tadi malam.	tadi malam ?
saya akan senang melakukannya. sama-sama.	Oh, jangan seperti itu.
Hah ?	Aku tidak sekotor yang dipikirkan putriku.
dimana nick tidur?	kenapa denganmu.
eh, hampir semua orang.	kamu sedang bercanda?
Aku tidak pantas untuknya saat itu.	dan apa yang kamu lakukan sekarang?
apa masalahnya ?	Apa ?
Hei kawan.	Maaf, bisakah Anda memberi kami waktu sebentar?
Apa ?	tidak ada apa-apa.
tidak ada apa-apa.	tidak, katakan padaku.
Hai .	Oh halo.
sampai jumpa lagi . . .	Ya ?
aku harus pergi.	apa ?! tidak tidak. kamu tidak bisa
apa ?! tidak tidak. kamu tidak bisa	aku harus. aku adalah pendamping pria terbaik.
Hai .	Hai .
ya . kamu ?	Ya .
Oh, hentikan omong kosongnya!	Aku benci melihatmu begitu terjebak.
Sulit untuk dijelaskan.	Tunjukkan padaku .
jangan berhenti bertanya oke?	Oke .
Saya rasa begitu.	bagaimana menurutmu ?
Ya .	Apa ? !
bisa ambilkan sampo saya?	sampo dapatnya!
bagaimana kamu tahu itu aku?	saya punya teman di majalah.
Pernahkah Anda melakukan hal seperti ini sebelumnya?	akhir pekan?
akhir pekan?	sebuah pernikahan
Apa ?	lucu sekali.
lucu sekali.	apa ?
tidak usah dihitung saja.	Mengapa ?
Mengapa ?	saya kompulsif dan aneh?
aku tidak tahu .	apa kata hatimu?
apa kata hatimu?	kamu terlalu baik untuknya.
apa warna sepatuku?	kamu punya kaki?
hai .hai .	kucing .
Oh tidak. Dia sudah memberitahumu.	kamu tahu ?
kamu tahu ?	Saya minta maaf sebesar-besarnya.
apa yang dia lakukan?	terapis.
Kamu ingin aku mengizinkannya masuk?	Tentu saja jangan konyol.
ayah !	hai anak kecil.
hai anak kecil.	bertemu nick.
Belum . . .	...tetapi hal itu sudah mendekati tujuan.
tidak ada apa-apa . . .	jadi kamu telah melakukan pekerjaanmu dengan benar?
jadi kamu telah melakukan pekerjaanmu dengan benar?	ya ibu . . .
ini dia di sini.	dari situlah kita berasal pertama?
dari situlah kita berasal pertama?	disitulah asal muasal kami pertama kali.
Anda punya rumah yang cantik, Nona Johnson!	saya mencoba . . .
wahh gitu . . .	Itu berhasil...
Itu berhasil...	terima kasih nona johnson.
tidak nona johnson . . .	bisakah kamu berenang ?
bisakah kamu berenang ?	ya ibu . . .
ya nona johnson . . .	lanjutkan . .
aku memang melihat charlie tapi aku	tidak ada tapi-tapian, Rita!
kamu akan melakukan hal itu bukan?	Anda mengerti maksudnya, Nyonya Pembuat Perahu.
tapi charlie	tidak tidak tidak !
kamu tahu sesuatu ayah?	apa itu nak ?
dimana semua orang ?	mereka pergi ke lapangan...
mereka pergi ke lapangan...	kurasa aku tak bisa hanya berbaring di sini saja.
selamat pagi nak . . .	Selamat pagi ayah . . .
selamat malam ayah . .	selamat malam untukmu anakku. . .
Kita pergi berburu lagi ayah!?	Anda yakin kami begitu!
Dia akan muncul suatu hari.	apakah menurutmu dia sudah meninggal, ayah?
hai ayah . . .	hai anakmu...
david lee . . .	ya tuan . .
dingin sekali ayah!	sini pakaikan jaketku padamu.
kapan itu ?	Minggu . . .
Minggu . . .	apakah kamu kenal ayahku nathan lee morgan?
siapa nama ayahmu?	nathan lee morgan . . .
Sampai jumpa besok nona boatwright.	david !
david !	ya bu . . . ?
nona pembuat perahu	ya david . . .
jadilah anak kecil yang baik dan pintar.	ya bu . . .
ada apa nathan?	dia tidak bisa bangun mama!
ada apa dengan dia david?	itu panasnya.
apa yang kamu bawa ?	beberapa buku yang nona johnson berikan kepadaku.
beberapa buku yang nona johnson berikan kepadaku.	siapa nona johnson?
siapa nona johnson?	Nona Johnson adalah seorang guru dan...
selamat malam ibu . . .	Selamat malam . . .
apa itu david lee?	dengarkan ibu...
bisakah saya pergi saat liburan tiba?	kamu pasti bisa, nak. . .
selamat tinggal ibu . . .	Selamat tinggal nak, aku tidak akan pergi lama.
siapa mereka ?	anak-anak datang kesini...
siapa yang menang mama?	belum ada seorang pun, semuanya sudah terikat.
Siap berangkat, Bu!	selipkan kemeja itu pada david lee.
itu benar !	darimana itu datangnya mama ?
Ayo, aku antar kamu pulang.	aku akan berjalan...
kami membawa cucian anda nona boatwright.	masuklah anak-anak.
hai kamu rebecca . . .	lelah .
Itu satu dolar dan dua puluh sen.	saya ingin mendapatkan beberapa barang.
baiklah, mari kita mulai bekerja!	kamu yakin kamu merasa sanggup, Nathan?
selamat pagi nathan.	pagi . . .
pagi . . .	kamu siap untuk makan?
kamu siap untuk makan?	Saya akan menunggu sampai setelah anak-anak.
Apa . . .	Lihatlah kemuliaan-Ku.
Lihatlah kemuliaan-Ku.	apa yang kamu ?
apa yang kamu ?	aku adalah klitoris
anjing	perhatikan bahwa tidak terjadi apa-apa. sekarang ucapkan montana.
perhatikan bahwa tidak terjadi apa-apa. sekarang ucapkan montana.	montana .
montana .	bagus. sekarang bantal.
bagus. sekarang bantal.	bantal .
apa yang kamu katakan ?! ?! !	aku bilang
kenapa tidak?	Bagus!
Gila, tukang gerobak! Apa itu tadi?!	gimana caranya aku tau!!
Apa ?	aku melihatnya tadi malam!
apakah itu ibu cartman?	lucu sekali !
Kalian! Serius! Kalian!	apa itu cartman?!
apa itu cartman?!	kenny! aku melihat kenny lagi!
Beritahu mereka kita akan makan pai dan punch.	Kita tidak akan makan pie dan punch!
Hai, tukang gerobak.	Apa ?
apa-apaan itu?!	Bung, mereka memotong menit!
Wah film itu keren banget!	kau berani bertaruh bahwa itu benar!
Karena bodoh, mereka orang Kanada, sama seperti saya!	Oh .
mph rmph rm !!	tidak, kamu tidak bisa, Kenny!
tidak, kamu tidak bisa, Kenny!	mph rm rmph !! !
Mama . . .	ya sayang?
lihat eric itu teman kecilmu.	Apa sebenarnya yang kalian lakukan di sini?
aksenmu juga bodoh.	eric itu tidak pantas.
apaan?!	siapa ?
Apa kabar koki?	sesuatu yang besar anak-anak.
Ha! apakah Paus Katolik?	aku tidak tahu .
halo anak-anak!!	Hai koki.
bolehkah saya?	Apa ?
Oh tidak, itu anak itu.	ini tempatnya
uhh . . .	selamat malam sepertinya kita semua mau tidur.
kecepatan mph .	lalu minggirlah.
mph rmph rm rmph rmph rm !	Oh kamu ingin keluar dari neraka ya?
tidak. . . sang jenderal benar.	Mama ! ! !
aduh ibu!!	lakukan apa yang kukatakan, Kyle!
sial !	membekukan ! !
uhh . . . aku tidak tahu.	tebakan .
tebakan .	uhh... daging babi asap.
uhh... daging babi asap.	Oke .
dingin sekali...	kami tidak bisa pergi tanpamu!
kami tidak bisa pergi tanpamu!	Tidak apa-apa, aku sudah selesai.
tidak! itu bukan terrance atau phillip!	Oh...baiklah, kau kembali saja.
gwpaapa . gwpaapa .	baiklah.
Bung, kita tidak punya jam tangan.	lembaran. apakah kamu membawa cermin?
Apa ?	kamu yakin Kenny?
oh saudara.	apakah kamu sudah mematikan alarm cartman?
Wah banyak sekali orang yang datang.	ya jadi apa yang kita katakan?
ya jadi apa yang kita katakan?	Saya pikir kamu mempunyai sesuatu yang direncanakan.
Saya pikir kamu mempunyai sesuatu yang direncanakan.	Saya ? !
menemukan delapan juta halaman dengan kata klitoris!	Wow !
Wow !	Saya akan mencoba yang pertama saja.
Aku sangat muak dengan tentara-tentara ini.	ya mereka menyebalkan.
ini manis!!	Benar sekali!
Sobat, ayo bantu terrance dan phillip!!	Bagaimana kita melakukannya ?
Bung, ibu kita menangkap Terrance dan Phillip!	ibu kita menyebalkan!
Bagaimana mereka bisa melakukan ini?	itu tidak adil!
Ya Tuhan! Mereka membunuh Kenny!	kalian bajingan!!
dan tagihan?	Ya ?
Ya ?	saya butuh makan siang.
saya butuh makan siang.	segera Bu!
bagaimana dengan serangan udara?	Hah ?
diam! aku setan!	Oh .
tidak, itu lebih buruk dari itu...	kata f itu ?!
apa kabar terrance?	Kanada menyelamatkan kita!!
oh kamu benar-benar orang yang murung!	kamu pasti tahu, bodoh.
Bagus sekali, Phillip! Salam.	salam terrance!
kamu akan meniduri pamanmu!	kamu akan meniduri pamanmu!
hei, aku kangen pesta!	Tidak! Tidak mungkin!
apa yang kamu lakukan hari ini setan?	kamu tidak peduli.
jangan panggil aku bodoh!	Maksudku, bodoh dan imut. Sekarang, membungkuklah!
kamu tahu aku melakukannya.	Saya tahu .
siapa cream puffku?	saya .
temanku klitoris memberitahuku.	wow aku juga punya klitoris.
stan! stan kamu baik-baik saja ?!	wendy ?
wendy ?	stan ?! kamu memulai perlawanan ?
nazi!!	ada apa wendy?
ada apa wendy?	tidak ada yang menonjol. kamu tidak akan mengerti.
hai wendy.	hai stan.
apakah kamu melihat itu wendy?	benar sekali.
kami menonton film terrance dan phillip!	Itu bagus sekali, Stan.
mengerti .	dan tali?
dan tali?	memeriksa .
kamu tidak punya jam tangan?	Bung, kamu tidak mengatakan apa pun tentang jam tangan.
Yesus ayolah!	mereka tidak akan berhasil!
Oh ya . . .	Oh ya . . .
Oh ya . . .	oh sara . . .
oh sara . . .	...dalam "anna"
...dalam "anna"	...dalam "anna"
Oh terima kasih.	luar biasa luar biasa .
luar biasa luar biasa .	Baiklah, aku hargai itu.
tentu saja tentu saja . . .	Jadi . . .
malam .	itu tidak mungkin.
itu tidak mungkin.	Permisi ?
Permisi ?	kamu adalah warren wayne.
dan apa yang mereka lakukan sekarang mac?	mereka sedang menunggu informasi lebih lanjut.
baik sekali kapten.	baiklah matikan saja sekarang juga!
bodoh . . .	bantuan yang baik sulit ditemukan. . .
Mac, bisakah kau mendengarku? Masuklah?	Taylor, kamu mengejutkanku.
jembatan! adakah yang bisa mendengarku?!	ya ya ya beri aku waktu sebentar di sini.
tidak. saya sudah siap. terima kasih.	Yah, mungkin aku akan mengejutkanmu.
Yah, mungkin aku akan mengejutkanmu.	aku tidak sabar lagi.
Anda ingin kembali bekerja antar-jemput?	Ini manfaatnya yang bagus dan stabil.
apakah itu jelas ?	itu jelas.
sekarang saatnya kita mengunci koordinat.	aku tahu aku tahu.
barnes ?	itu aku.
jadi sulit bernafas...	jangan terlalu banyak bergerak.
kita akan mati.	apakah kamu akan diam saja?
lihat ini...yesus.	ya saya rasa uang tidak dapat membeli kelas.
apa itu ?!	aku tidak tahu. lambaikan tangan pada mereka!
maukah kamu menikah denganku ?	menikahimu?
menikahimu?	Benar juga. Maukah kau menikah denganku?
begitu dekat . . .	dan sejauh ini.
apa yang sebenarnya sedang kamu lakukan ?	Kita punya tempat! Ayo berangkat!
Kita punya tempat! Ayo berangkat!	apa maksudmu ? apa yang terjadi !
Aku akan melakukan yang terbaik.	Jadi apa yang akan terjadi padamu?
lebih cepat dari pada nanti.	selesai dan keluar.
aku di jembatan	barnes ?
fajar . masuklah .	Taylor! Kamu dimana?
aku tidak akan pergi denganmu.	apa ? apa yang sedang kamu bicarakan ?
apakah anda ingin beberapa saran?	Tentu .
penjahit ?	Ya ?
Anda siap untuk hal yang sesungguhnya?	pada titik ini saya siap untuk apa pun.
ya. kita berhasil.	jadi kami melakukannya.
Apakah kamu siap ?	siap seperti aku siap selama-lamanya.
Saya tidak tahu apa yang sedang kita hadapi.	saya mengerti .
semuanya tetap di tempat saja.	Tunggu .
Dia tentu saja sopan.	tutup semua pintu di belakangmu!
oke...itu terbuka.	pernah melihat yang seperti ini sebelumnya?
mungkin bisa menembus tembok kurasa.	Yah, mungkin kita bisa melakukan sesuatu seperti itu.
apa yang akan kita lakukan ?	aku tidak tahu .
Terima kasih .	Apakah ada yang bisa saya bantu?
Apakah ada yang bisa saya bantu?	tidak, hanya menikmati pemandangan.
aku akan kembali untuk taylor!	kamu gila! itu terlalu beresiko!
Baik sekarang apa yang akan kita lakukan!	Bagaimana aku bisa tahu ?
apa-apaan itu ?	mesinnya!
apakah aman untuk transportasi manusia?	Itu benar.
Petugas Taylor, apa kabar Anda malam ini?	mac. apa yang bergetar?
Saya mencari seorang pria.	Pria macam apa ?
Pria macam apa ?	seorang pemain bowling.
Bisakah saya ambilkan sesuatu untuk dibawa ke jalan?	kamu punya cambuk oranye?
belum pernah melihat bola seperti itu sejak itu.	Itu milik ayahku.
menurut kamu dia membelinya?	saya akan membelinya!
Bagaimana cara mematikan benda ini?	tunggu! itu aria!
Hei kamu masih di sini?	kami mencari buzz fazeli pernah melihatnya?
tiga cambukan. untuk pergi.	ketika Anda mendapat kesempatan.
Ah, ayolah, biarkan aku melihat bolamu.	kamu takut kami akan mencurinya?
ya bingo ruang bawah tanah.	Biarkan aku melihat bolamu.
Saya yakin Anda punya buzz.	doakan saya .
Jadi kamu tidak pernah melihatku. Benar?	aku tidak pernah melihatmu.
aku tidak pernah melihatmu.	Terima kasih anak. Kemana kamu pergi sekarang?
Seluruh dunia mengira kau ada di bawah tanah.	aku di bawah tanah
Kami tidak menikah lagi.	dia mengatakan hal itu kepada semua istrinya.
Anda mendapat tawaran yang lebih baik?	TIDAK . . .
TIDAK . . .	Aku tidak berpikir begitu.
aku darahmu.	kamu berharap!
apa-apaan ini ?	bagaimana menurut anda?
saya tidak kenal grace skinner.	Anda mengenalnya. Anda menikahinya di.
dimana kamu mendapatkan bola ini?	Itu punyaku.
Itu punyaku.	siapa yang memberikannya kepadamu?
siapa yang memberikannya kepadamu?	rahmat skinner .
mereka menskors saya selama bertahun-tahun.	bertahun-tahun !
buzz fazeli.	teo .
saya tidak ikut tur tahun ini.	butuh saran ya.
Halo ?	halo ibu ?
jangan bilang padaku john.	Dingin !
kamu seharusnya tidak menyentuhnya.	tidak junior, kau seharusnya tidak menyentuhnya.
siapa disana !	buzz fazeli.
tok tok .	siapa disana ?
Ayo sheila tok tok.	siapa disana ?
siapa disana ?	muda.
muda.	junior siapa?
junior siapa?	Apakah kamu dan temanmu sudah melakukannya?
jangan mendekati arena bowling.	pusat bowling!
Fantastis! Sungguh berbakat.	kamu masih punya sentuhan, junior.
lihat siapa yang bicara!	biarkan dia sendiri !
berbaris di tempat yang Anda inginkan.	Ya .
Dimana saya bisa menemukannya?	peter pan.
dia tidak ada disini.	aku minta maaf tentang zeus millie.
buzz fazeli tidak pernah membantu siapa pun kecuali dirinya sendiri.	Dia ayahku millie.
Dia ayahku millie.	Dia bukan ayahmu.
Singkirkan itu dari mulutmu!	mereka menskors saya.
apakah tuan fazeli ada?	siapa yang ingin tahu? zeus!
siapa yang ingin tahu? zeus!	Saya seorang pemain bowling.
sangat profesional.	Saya seorang pria profesional.
Saya seorang pria profesional.	bibir masih dijual?
bagaimana dengan rencana c?	persetan dengan rencana c!
kata kamu!	hisap penisku!
Anda tidak mendapatkan dua kesempatan dengan junior.	setidaknya aku akan mati sambil tersenyum.
dia sudah meninggal sheila.	saya merasa sakit.
saya merasa sakit.	kamu harus .
kamu harus .	apakah kamu yakin dia sudah mati?
apakah kamu yakin dia sudah mati?	Saya tidak berhenti untuk memeriksa denyut nadinya.
Bagaimana cara menurunkan benda ini?	ceritakan padaku apa yang terjadi theo.
Kamu bilang pada junior bahwa kita melakukannya.	dia ?
Tidak ada apa-apa .	terlambat untuk apa sheila?
aku tak bisa memberitahumu, theo.	mengapa tidak ?
Saya takut kamu akan menyakitinya.	Ini junior bukan?
ritsleting .	dan lagi pula, mungkin sudah terlambat.
lebih dari apa yang mampu Anda beli.	Ayo tawar menawar dengan saya.
Ayo tawar menawar dengan saya.	Saya bisa membiarkan mereka pergi dengan harga sepuluh.
tidak, aku terpesona.	kenapa anda diskors?
Baiklah, itu rencana a.	apa rencana b?
